,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
32,-0.2263,Sat Oct 20 11:22:00 +0000 2018,0.913,0.087,0.0,1,@BBC,"It’s taken “Dot” Perkins a long time to come to terms with life after his injury.

But #InvictusGames has helped hi… https://t.co/kTaDNICEPl"
33,0.8,Sat Oct 20 10:23:15 +0000 2018,0.644,0.088,0.268,1,@BBC,"RT @BBCR1: 💓 We're SO EXCITED to welcome @LittleMix back to the #R1TeenAwards on Sunday! 🎉⭐️

Whether you're joining us at Wembley or follo…"
34,0.2382,Sat Oct 20 10:22:59 +0000 2018,0.922,0.0,0.078,1,@BBC,"RT @BBCFOUR: It's fondly remembered for its colour and vibrancy, but the origins of Disco were much more political than you might think… ht…"
35,0.3612,Sat Oct 20 10:05:04 +0000 2018,0.865,0.0,0.135,1,@BBC,"🎥 #WW1 as you've never seen it before - courtesy of #LOTR director Peter Jackson.
#TheyShallNotGrowOld https://t.co/cpe4dGhyTG"
36,0.0,Sat Oct 20 09:12:05 +0000 2018,1.0,0.0,0.0,1,@BBC,"😶 ‘Silence is gold, talking is silver’.

How the Finnish survive without small talk. 
👉 https://t.co/aDnS0xGWj3 https://t.co/J6Erhjy8nX"
37,0.6369,Sat Oct 20 08:06:01 +0000 2018,0.756,0.0,0.244,1,@BBC,"🍁🍂And relax.... 
Take a walk through a New England forest in glorious fall foliage.
#Autumnwatch https://t.co/YdLSHQQNq5"
38,0.0,Sat Oct 20 07:13:05 +0000 2018,1.0,0.0,0.0,1,@BBC,"🇯🇵🌸 Some of Japan's famed cherry blossoms, also known as sakura, have bloomed unexpectedly this autumn.
👉… https://t.co/ZuF6GvnMKs"
39,0.0,Fri Oct 19 18:05:05 +0000 2018,1.0,0.0,0.0,1,@BBC,"Who could use this dress that INFLATES if people get too close to you?  🙋😂
#QI https://t.co/O5PNNTtC5X"
40,0.0,Fri Oct 19 16:03:05 +0000 2018,1.0,0.0,0.0,1,@BBC,🕺 This Welsh breakdancing teacher is redefining our expectations of dad dancing. https://t.co/O2mVWxkavw
41,0.0,Fri Oct 19 15:00:04 +0000 2018,1.0,0.0,0.0,1,@BBC,"The Invictus Games have arrived in Sydney!

Returning for its fourth edition, the seven-day event will see 500 comp… https://t.co/RcE1vgkuBQ"
42,0.0,Fri Oct 19 12:53:03 +0000 2018,1.0,0.0,0.0,1,@BBC,"Would you eat lab-grown, slaughter-free meat? https://t.co/AQI47xrdwn"
43,0.0,Fri Oct 19 12:10:49 +0000 2018,1.0,0.0,0.0,1,@BBC,"🍰🍑 @HughJackman and @BillyCrystal have alllll the baking innuendos.
#NationalBakingWeek https://t.co/Qtbcxvwl34"
44,0.4939,Fri Oct 19 11:04:05 +0000 2018,0.725,0.076,0.198,1,@BBC,"'We took a romantic walk along the canal and I got paranoid, thinking he would throw me in…'

What it's like to liv… https://t.co/pMiBrnECUH"
45,0.5719,Fri Oct 19 10:21:40 +0000 2018,0.812,0.0,0.188,1,@BBC,"🍸 Gin and tonic, the perfect pair.
Do you know how they came together? 

#InternationalGinAndTonicDay  https://t.co/eshnO6BlLC"
46,0.0,Fri Oct 19 09:20:20 +0000 2018,1.0,0.0,0.0,1,@BBC,"It's the circle of life! 🦁
This little lion cub is being raised by Labrador. https://t.co/Jelt4f4YUu"
47,0.4215,Fri Oct 19 08:55:20 +0000 2018,0.865,0.0,0.135,1,@BBC,"🇬🇧 Meet the legends competing for Team UK at the 2018 Invictus Games.

#InvictusGames | starts 7.30pm | @BBCOne https://t.co/BiXjQmubTW"
48,0.0,Fri Oct 19 08:04:03 +0000 2018,1.0,0.0,0.0,1,@BBC,😂🔮 A pregnancy test that predicts the future! https://t.co/rq5kkkbJXn
49,-0.2716,Fri Oct 19 07:04:07 +0000 2018,0.878,0.122,0.0,1,@BBC,"Has fur – fashion’s most controversial material – finally had its day?
👉 https://t.co/lmdWPjjN5e https://t.co/WTgRDrNWS9"
50,0.5574,Fri Oct 19 06:12:05 +0000 2018,0.769,0.0,0.231,1,@BBC,🐵 We aren't the only animals that laugh when we're tickled... https://t.co/zacI00rcuw
51,0.0,Thu Oct 18 16:04:05 +0000 2018,1.0,0.0,0.0,1,@BBC,".@WhoopiGoldberg on her nine ex-husbands. 
#TheGNShow https://t.co/qu1vGJixzZ"
52,0.4019,Thu Oct 18 13:05:02 +0000 2018,0.895,0.0,0.105,1,@BBC,A black bear cub spotted with a plastic jar on its head has been freed by rangers in the US who spent three days se… https://t.co/30g7Yto2aK
53,-0.3182,Thu Oct 18 12:04:05 +0000 2018,0.777,0.223,0.0,1,@BBC,The Soviet-era ghost town vanishing into the forest.  https://t.co/SMG2Vd5Ndb
54,0.296,Thu Oct 18 11:04:06 +0000 2018,0.845,0.0,0.155,1,@BBC,"💊 Should everyone be taking vitamin D?
👉 https://t.co/tqSxQma4HY https://t.co/rZu1DpZEwf"
55,0.7351,Thu Oct 18 09:25:13 +0000 2018,0.754,0.0,0.246,1,@BBC,"RT @BBCAfrica: “It felt like a duty to me to celebrate the woman, the mother, the matriarch, the immigrant.”

Filmmaker @adeyemimichael pre…"
56,0.4019,Thu Oct 18 09:16:32 +0000 2018,0.895,0.0,0.105,1,@BBC,"RT @BBC6Music: How many times have you heard The White Album? 

⬜️  You can now download our special show @BBCSounds featuring the full alb…"
57,0.0,Thu Oct 18 08:02:00 +0000 2018,1.0,0.0,0.0,1,@BBC,"😂⚽️ When it's your wedding day but @NUFC is life.

#ArmchairBritain | 11.45am | @BBCOne https://t.co/VdtV8u9dJ9"
58,0.25,Thu Oct 18 07:03:03 +0000 2018,0.909,0.0,0.091,1,@BBC,Scientists have created a piece of genetic code with the potential to wipe out the breed of mosquito that spreads m… https://t.co/0zYeFx45XT
59,0.3687,Thu Oct 18 06:14:05 +0000 2018,0.887,0.0,0.113,1,@BBC,"🐿 Nocturnal and able to leap 60 metres in a single bound, these little guys are true masters of the night.… https://t.co/mAyadgtUFI"
60,-0.4767,Wed Oct 17 19:04:04 +0000 2018,0.853,0.147,0.0,1,@BBC,Archaeologists have uncovered an inscription they say may show that the history books have been wrong for centuries… https://t.co/nkLmqPVy9k
61,0.4404,Wed Oct 17 18:07:03 +0000 2018,0.791,0.0,0.209,1,@BBC,"💃🕷 This jumping spider has all the moves to impress.
#LifeStory https://t.co/DZSewaxum5"
62,0.0,Wed Oct 17 17:03:00 +0000 2018,1.0,0.0,0.0,1,@BBC,"Fishermen now fish for plastic instead of fish in Indonesia's Citarum River.
#DrowningInPlastic #PlasticsAction https://t.co/dAau36nauR"
63,0.7723,Wed Oct 17 16:03:02 +0000 2018,0.63,0.073,0.297,1,@BBC,"These baby puffins in Iceland are in trouble – but don't worry, here come some children to the rescue. https://t.co/Hqfp43nG6H"
64,-0.4939,Wed Oct 17 14:30:00 +0000 2018,0.842,0.158,0.0,1,@BBC,"Having suffered life-changing injuries serving their countries, these army veterans are about to embark on a 1000 m… https://t.co/eVDdiHaTRi"
65,0.0,Wed Oct 17 13:03:04 +0000 2018,1.0,0.0,0.0,1,@BBC,"A cooking class, a group walk or even a spot of dancing could be the prescribed by GPs in England to reduce pressur… https://t.co/v3V6tRBaQx"
66,0.0,Wed Oct 17 12:02:01 +0000 2018,1.0,0.0,0.0,1,@BBC,How a group of guerrilla litter pickers are cleaning up Lagos. https://t.co/IBTAe1HNqd
67,0.0,Wed Oct 17 11:04:06 +0000 2018,1.0,0.0,0.0,1,@BBC,"🍁🍂 Seven classic New England scenes. #Autumnwatch
👉 https://t.co/xJ2FsIS6Xu https://t.co/g2YnaLKjIF"
68,-0.1531,Wed Oct 17 09:21:04 +0000 2018,0.935,0.065,0.0,1,@BBC,"If you or someone you know has been affected by the issues in this film, then organisations that may be able to hel… https://t.co/ojrSHpzTwF"
69,-0.7783,Wed Oct 17 09:12:04 +0000 2018,0.746,0.254,0.0,1,@BBC,"Patricia has lost her three sons to suicide. She lives in Northern Ireland, the place with the highest rate of suic… https://t.co/TXw74dDlox"
70,0.7804,Wed Oct 17 08:49:41 +0000 2018,0.713,0.0,0.287,1,@BBC,RT @BBCTheOneShow: Find yourself a BFF that talks about you the way that @Maisie_Williams talks about @SophieT 💖 https://t.co/AgZEf2IqXM
71,-0.4215,Wed Oct 17 08:44:19 +0000 2018,0.882,0.118,0.0,1,@BBC,"RT @BBCWales: Welsh artist Chris Baker has Asperger syndrome. Struggling to express himself, Chris found his voice through art - and the wo…"
72,0.0,Wed Oct 17 08:22:09 +0000 2018,1.0,0.0,0.0,1,@BBC,😂❤️ This five-year-old boy couldn't resist touching Prince Harry's beard during a school visit in Australia.  https://t.co/39hXKPXdiZ
73,-0.8689,Wed Oct 17 07:08:02 +0000 2018,0.55,0.45,0.0,1,@BBC,"Why sexual assault survivors forget details and four other misconceptions about sexual violence. 
👉… https://t.co/npHzf8laCd"
74,0.7088,Wed Oct 17 06:07:02 +0000 2018,0.753,0.0,0.247,1,@BBC,"Are you a night owl? 🦉

😴🛌 Here are five handy tips to help you get a good night's sleep! 
#Horizon https://t.co/pztZMJ23hD"
75,0.0,Tue Oct 16 18:03:07 +0000 2018,1.0,0.0,0.0,1,@BBC,VAPING: What could be healthier than inhaling gallons of melon-flavoured tobacco steam bought from a shop that also… https://t.co/MfLfJgUss5
76,0.7345,Tue Oct 16 17:04:03 +0000 2018,0.693,0.0,0.307,1,@BBC,This is how you can help save the NHS money... dig out your old crutches! https://t.co/WqgRTXsFup
77,-0.6249,Tue Oct 16 16:43:29 +0000 2018,0.661,0.339,0.0,1,@BBC,RT @BBCOne: The subconscious racism is real. #Informer https://t.co/0EEKbry4pd
78,-0.3612,Tue Oct 16 16:03:04 +0000 2018,0.667,0.333,0.0,1,@BBC,"🔥🐐
Fighting fires with goats https://t.co/xoTuQNU3Vp"
79,0.0,Tue Oct 16 15:30:08 +0000 2018,1.0,0.0,0.0,1,@BBC,"❤️ Pippa Middleton, the sister of the Duchess of Cambridge, has given birth to a baby boy.
👉 https://t.co/eQwXGiv9B6 https://t.co/V3eJxREzDa"
80,-0.4939,Tue Oct 16 15:00:24 +0000 2018,0.824,0.176,0.0,1,@BBC,"RT @bbcthree: ""In the US 40% of all food is wasted whilst millions starve."" #WorldFoodDay https://t.co/nMI5WO4jHb"
81,0.7096,Tue Oct 16 14:43:37 +0000 2018,0.576,0.0,0.424,1,@BBC,"❤️⚡ This video could help you save a life.
#RestartAHeartDay https://t.co/wOkfddUbqB"
82,0.0,Tue Oct 16 14:33:48 +0000 2018,1.0,0.0,0.0,1,@BBC,RT @bbcpress: First episode of Jodie Whittaker's #DoctorWho watched by 10.9 million viewers (consolidated) - making it the highest season l…
83,0.0,Tue Oct 16 13:44:32 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @BBCTwo: Earl Cameron is over 100 years old, and was the first ever black actor to star in a British film. https://t.co/HSXBb7Ea7N"
84,0.5106,Tue Oct 16 12:54:07 +0000 2018,0.764,0.063,0.173,1,@BBC,😹 The US embassy in Australia has apologised for an email invitation featuring a cat dressed in pyjamas that was mi… https://t.co/5eGaTENGUR
85,0.2263,Tue Oct 16 12:05:07 +0000 2018,0.782,0.091,0.128,1,@BBC,"After years of hiding her boxing from family &amp; friends, Ramla Ali is preparing to compete at the Olympic Games. https://t.co/Ela03dTPqU"
86,0.2263,Tue Oct 16 11:04:03 +0000 2018,0.905,0.0,0.095,1,@BBC,"📺 From #TheRomanoffs to the return of #MakingAMurderer, here are eight TV shows worth watching in October.
👉… https://t.co/FG8uRe3ZXy"
87,0.5267,Tue Oct 16 10:05:04 +0000 2018,0.671,0.124,0.205,1,@BBC,"😂 #BluePeter sure has had some strange moments in its 60 years.

Here are some of the strangest... 
#BluePeter60 https://t.co/SP2L6BDEYN"
88,0.0,Tue Oct 16 09:32:22 +0000 2018,1.0,0.0,0.0,1,@BBC,"🐛🍔 The bug burger has as much protein in it as a beef burger. 
#WorldFoodDay https://t.co/r4if2otNZ6"
89,0.8668,Tue Oct 16 09:21:10 +0000 2018,0.685,0.0,0.315,1,@BBC,"RT @cbbc: Happy 60th Birthday #BluePeter60 🎉🎁🎊

Let's remember all the faces that have made it so wonderful! 💙 https://t.co/zr1bfJghFe"
90,0.4019,Tue Oct 16 09:05:06 +0000 2018,0.748,0.0,0.252,1,@BBC,"Check out teeny tiny @DrewBarrymore...😍
🎉 #BluePeter60  https://t.co/yYx7bh0hyv"
91,-0.296,Tue Oct 16 08:00:00 +0000 2018,0.901,0.099,0.0,1,@BBC,"For decades, Hannah managed a farm with no running water or electricity - by herself. What. A. Woman. 💪

Armchair B… https://t.co/HbiwXkOcz6"
92,0.3182,Tue Oct 16 07:08:07 +0000 2018,0.887,0.0,0.113,1,@BBC,"A hologram of Amy Winehouse, which will use her original voice recordings, will tour the world next year.
👉… https://t.co/YuMa5d9Yeh"
93,0.0,Tue Oct 16 06:09:07 +0000 2018,1.0,0.0,0.0,1,@BBC,Just remember this next time someone comments on your sniffer 😉https://t.co/Vspi3XoxRS
94,0.0,Mon Oct 15 19:10:03 +0000 2018,1.0,0.0,0.0,1,@BBC,"Introducing K-pop band @BTS_twt! (If you can hear them above the screaming... 😆)
#TheGNShow #BTS https://t.co/RPu0uXLh2j"
95,0.6696,Mon Oct 15 18:03:06 +0000 2018,0.609,0.0,0.391,1,@BBC,"💚🦉 Meet the world's best mousetrap! 
#Autumnwatch https://t.co/cTeu2GwuI2"
96,0.0,Mon Oct 15 17:10:03 +0000 2018,1.0,0.0,0.0,1,@BBC,"This is the incredible story of how London dug the Victoria Line! 🚇
#StationsDay https://t.co/F8MsetBclS"
97,0.0,Mon Oct 15 16:31:33 +0000 2018,1.0,0.0,0.0,1,@BBC,🎶😂 Can @JanetJackson recognise her own lyrics in formal English? https://t.co/9sp7aCYK0c
98,-0.3382,Mon Oct 15 16:03:17 +0000 2018,0.888,0.112,0.0,1,@BBC,"RT @BBCTwo: Family #CookingShowdown is back! 👨‍👩‍👧‍👦🍴🍳

Meet the families who will be battling it out in the kitchen... https://t.co/GfCVJA…"
99,0.5837,Mon Oct 15 16:00:19 +0000 2018,0.864,0.0,0.136,1,@BBC,"RT @BBCSpringwatch: Hello bear! 👋 Look who turned up on our wildlife cameras! 
See you from 8pm tonight for more bears, beavers, birds, loo…"
100,0.0,Sun Oct 21 14:00:01 +0000 2018,1.0,0.0,0.0,1,@CBS,Make your Sunday a touchdown with @NFL on CBS. Catch your local games live on CBS and @CBSAllAccess. 🏈📺… https://t.co/Pnx8rR97CF
101,0.8858,Sun Oct 21 06:00:00 +0000 2018,0.591,0.0,0.409,1,@CBS,Michael Jackson's greatest hits and characters voiced by your favorite CBS stars! What could be better? Watch… https://t.co/mzatyDRlvX
102,0.3818,Sun Oct 21 03:00:00 +0000 2018,0.795,0.0,0.205,1,@CBS,"Hey West Coast, a magical adventure of personal discovery awaits you... #MichaelJacksonHalloween starts now on CBS… https://t.co/XhLTKWgPXi"
103,0.7901,Sun Oct 21 01:00:00 +0000 2018,0.5,0.0,0.5,1,@CBS,#MichaelJacksonHalloween looks like the best kind of Halloween! https://t.co/h3vMJnuksE
104,-0.4767,Sun Oct 21 00:52:36 +0000 2018,0.693,0.307,0.0,1,@CBS,RT @gerraldinha: I looooove it 😭  #MichaelJacksonHalloween
105,0.4215,Sun Oct 21 00:30:00 +0000 2018,0.682,0.0,0.318,1,@CBS,Those are some powerful moves. #MichaelJacksonHalloween https://t.co/33aJzHrbMB
106,0.8122,Sun Oct 21 00:23:17 +0000 2018,0.619,0.0,0.381,1,@CBS,RT @SharonLovesMacG: Watching #MichaelJacksonHalloween @lucastill @GeorgeEadsTV .. I Love this cartoon.. Soo Good! 🎃🎃 https://t.co/Hgk5jTVE…
107,0.0,Sun Oct 21 00:00:00 +0000 2018,1.0,0.0,0.0,1,@CBS,Time to march to the TV! #MichaelJacksonHalloween starts now on CBS and @cbsallaccess: https://t.co/izyMSOHp7l https://t.co/ZFIoRV0Rag
108,0.2714,Sat Oct 20 16:00:00 +0000 2018,0.795,0.0,0.205,1,@CBS,"It’s almost time for ""a thriller, thriller night!"" Here's how to watch #MichaelJacksonHalloween:… https://t.co/GTzLrjCHEf"
109,0.4466,Fri Oct 19 23:00:35 +0000 2018,0.693,0.094,0.213,1,@CBS,"DVR ALERT for Viewers in EAST/CENTRAL Time Zones, please note *possible* football delay for CBS shows on Sunday eve… https://t.co/6lTXMVb9Cd"
110,0.0,Fri Oct 19 22:01:22 +0000 2018,1.0,0.0,0.0,1,@CBS,"BREAKING: CBS has given full-season orders to @GodFriendedMe, @MagnumPICBS and @TheNeighborhood for the 2018-2019 b… https://t.co/919bxqm673"
111,0.6369,Fri Oct 19 21:00:01 +0000 2018,0.819,0.0,0.181,1,@CBS,"You know and love him as Sheldon on the @bigbangtheory and this weekend, Jim Parsons is Hay Man on… https://t.co/nQCCmOy4pf"
112,0.4574,Fri Oct 19 18:00:02 +0000 2018,0.786,0.0,0.214,1,@CBS,Take a peek into #MichaelJacksonHalloween before the special airs tomorrow at 8/7c! https://t.co/8v9He4sZUB
113,0.5994,Thu Oct 18 23:54:23 +0000 2018,0.692,0.0,0.308,1,@CBS,RT @AmazingRaceCBS: Host of #AmazingRace @PhilKeoghan has a special #SpiritDay message to share. https://t.co/wsYGRtMZQg
114,-0.126,Thu Oct 18 23:51:35 +0000 2018,0.785,0.086,0.129,1,@CBS,"RT @SEALTeamCBS: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! The cast of…"
115,-0.4019,Thu Oct 18 23:46:50 +0000 2018,0.681,0.204,0.115,1,@CBS,RT @NCISLA: Join #NCISLA star @reneefsmith and stand against bullying for #SpiritDay. 💜 https://t.co/RSQ1lrDW3p
116,-0.126,Thu Oct 18 23:41:02 +0000 2018,0.785,0.086,0.129,1,@CBS,"RT @GodFriendedMe: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! We, the c…"
117,-0.126,Thu Oct 18 23:27:03 +0000 2018,0.776,0.09,0.134,1,@CBS,"RT @LifeInPiecesCBS: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! The cas…"
118,-0.126,Thu Oct 18 22:56:59 +0000 2018,0.766,0.094,0.14,1,@CBS,"RT @NCIS_CBS: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! @BrianDietzen…"
119,-0.126,Thu Oct 18 22:46:18 +0000 2018,0.793,0.083,0.124,1,@CBS,"RT @FBICBS: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! The cast of #FBI…"
120,-0.126,Thu Oct 18 22:26:39 +0000 2018,0.785,0.086,0.129,1,@CBS,"RT @ManWithAPlan: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! We, the ca…"
121,-0.126,Thu Oct 18 22:10:28 +0000 2018,0.776,0.09,0.134,1,@CBS,"RT @TheNeighborhood: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! We, the…"
122,0.1027,Thu Oct 18 21:47:07 +0000 2018,0.62,0.161,0.219,1,@CBS,RT @colbertlateshow: We are proud to join @glaad for #SpiritDay to take a stand against bullying. #LSSC 💜💜💜 https://t.co/BItV0My3sV
123,-0.126,Thu Oct 18 21:35:45 +0000 2018,0.776,0.09,0.134,1,@CBS,"RT @instinctcbs: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! #Instinct p…"
124,-0.126,Thu Oct 18 20:57:54 +0000 2018,0.776,0.09,0.134,1,@CBS,"RT @MadamSecretary: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! The cast…"
125,-0.126,Thu Oct 18 20:36:31 +0000 2018,0.776,0.09,0.134,1,@CBS,"RT @MurphyBrownCBS: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! The cast…"
126,0.6114,Thu Oct 18 19:58:51 +0000 2018,0.818,0.0,0.182,1,@CBS,RT @letsmakeadeal: The #LMAD cast is rocking purple for #SpiritDay! Celebrate with them by replying with some 💜💜💜. https://t.co/kkSNlJDs9z
127,0.8442,Thu Oct 18 19:49:07 +0000 2018,0.569,0.0,0.431,1,@CBS,@LisaHendey @garthbrooks @NotreDame You've got friends in Notre Dame places. 😊
128,0.7845,Thu Oct 18 19:45:41 +0000 2018,0.706,0.0,0.294,1,@CBS,RT @TheTalkCBS: We’re all wearing purple today in support of @glaad's 9th annual #SpiritDay. Share your favorite purple emojis below and sh…
129,0.6114,Thu Oct 18 19:34:06 +0000 2018,0.826,0.0,0.174,1,@CBS,"RT @YandR_CBS: It’s #SpiritDay, and we’re going purple at #YR to celebrate! @camryngrimes and @caitfairbanks are taking over our Instagram…"
130,0.2263,Thu Oct 18 19:00:45 +0000 2018,0.662,0.136,0.202,1,@CBS,"RT @PriceIsRight: Today is @GLAAD #SpiritDay 🌈We're proud to wear purple, take a stand against bullying, and show our support for the LGBTQ…"
131,-0.126,Thu Oct 18 18:29:28 +0000 2018,0.793,0.083,0.124,1,@CBS,"RT @MomCBS: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! We, the cast of…"
